Spectrum,Date,Time,Acetylene (1000) 191C,Benzene  191c,C4F6 150C,CF4 Low 150C,CH4 (250) 191C (1of2),CO (500) 191C (1of2),CO2 ppm 191c,Desflurane 150c,Ethane (500) 191C,"Ethylene (100,3000) 191C",H2O% (40) 191C,HCl ppm (100) 191C,HEXAFLUOROETHANE 150C,HEXAFLUOROPROPYLENE 150C,HF ppm (10) 191C,Isoflurane 150c,"N2O (100,200,300) 191C","NO (350,3000) 191C",Propane (100) 191C,TRIFLUOROMETHANE 150C,Temp (C),Pressure (Atm),NO2 wet,CO wet,CH4 wet,NH3 wet,NOx wet,CO dry,CO2% dry,NO dry,NO2 dry,NOx dry,HC (C3),Igram DC,Igram PP,phase Angle,laser PP,laser DC,Bad Scan counter,Centerburst Location,Linearizer Check,SNR 2500,sBeam @ 2500,Unnamed: 46
2020 HEATING NEW PTFE LINE_0024.LAB,11/19/2020,14:16:23.750,0.05796799999999999,-2.795274,-0.331999,0.084694,2.16541,12.351137,478.06134299999997,0.17264100000000002,10.248576,-0.223811,3.022602,-0.196635,-0.010286,0.124571,0.243423,-0.127242,0.338647,-0.25093000000000004,5.739261,-0.063699,192.139801,1.006399,-2.795274,-0.196635,0.338647,2.16541,-2.737305,-0.196975,3.02783,0.058067999999999995,-2.8001080000000003,-2.742039,4.062539,2.279788,5.997662,83.233528,8.736483999999999,-5.421978,0.0,1132.9841310000002,0.000164,900.312073,0.864333,
2020 HEATING NEW PTFE LINE_0025.LAB,11/19/2020,14:16:27.412,-0.375374,-0.8425469999999999,-0.12528,0.049604,2.046973,3.238074,460.623026,0.338081,5.208685,-0.108779,1.6660080000000002,-0.175752,0.013249,-0.11831199999999999,0.27710799999999997,0.037610000000000005,0.34346,-0.5939979999999999,2.365095,-0.082656,192.088928,1.004631,-0.8425469999999999,-0.175752,0.34346,2.046973,-1.2179209999999998,-0.176348,1.671659,-0.37664699999999995,-0.845405,-1.2220520000000001,1.749054,2.554221,6.1626769999999995,84.07265500000001,8.736483999999999,-5.421978,0.0,1133.010742,0.000109,1236.826782,0.863361,
2020 HEATING NEW PTFE LINE_0026.LAB,11/19/2020,14:16:31.297,-0.066954,-0.977499,-0.066037,0.034076999999999996,2.262566,1.3229870000000001,456.284933,0.147675,2.8604540000000003,0.03161,0.833508,0.174155,0.046646,-0.041306999999999996,0.270404,0.037173000000000005,0.392313,-0.295157,0.796974,-0.018736000000000003,192.114365,1.012985,-0.977499,0.28391,0.392313,2.262566,-1.044454,0.28433,0.8347399999999999,-0.067053,-0.9789450000000001,-1.045998,0.750253,2.7869450000000002,6.300738,84.47223699999999,8.701863000000001,-5.421978,0.0,1133.0307619999999,4.4e-05,1178.631226,0.8617969999999999,
2020 HEATING NEW PTFE LINE_0027.LAB,11/19/2020,14:16:35.241,-0.138201,-0.42475,-0.018797,0.021315,2.401564,1.181099,458.454065,0.09102400000000001,1.990174,0.00495,0.654038,0.133956,0.036412,-0.021958000000000002,0.378603,0.029305,0.352988,-0.22685999999999998,0.27942,-0.003618,192.09741200000002,1.018501,-0.42475,0.133959,0.352988,2.401564,-0.562952,0.134081,0.654634,-0.138327,-0.425137,-0.563465,0.42551000000000005,2.855721,6.338425,84.79190799999999,8.701863000000001,-5.43956,0.0,1133.037231,0.000134,878.832458,0.860554,
2020 HEATING NEW PTFE LINE_0028.LAB,11/19/2020,14:16:39.157,-0.351045,-1.07523,-0.013627,0.019128,2.0818220000000003,0.8533350000000001,456.419703,0.064691,2.0318419999999997,0.072115,0.593014,0.20397200000000001,0.046643000000000004,-0.007999,0.263446,0.010870999999999999,0.231723,-0.132225,0.46032799999999996,0.001208,192.139801,1.00929,-1.07523,0.313397,0.231723,2.0818220000000003,-1.426274,0.3136,0.593398,-0.351272,-1.075926,-1.427198,0.45772799999999997,2.881878,6.353843,84.632072,8.694939,-5.43956,0.0,1133.0410160000001,0.00011200000000000001,909.5687869999999,0.8605659999999999,
2020 HEATING NEW PTFE LINE_0029.LAB,11/19/2020,14:16:43.031,0.056601,0.5662010000000001,-0.039695,0.021631,2.417654,0.910013,458.84440599999994,0.052864999999999995,1.5616700000000001,0.035483,0.559455,0.091626,0.050464,0.0077930000000000004,0.18320699999999998,0.02443,0.293506,-0.094731,0.337674,0.006376,192.088928,1.005435,0.5662010000000001,5.441443,0.293506,2.417654,0.622803,5.4443209999999995,0.559751,0.056630999999999994,0.566501,0.623132,0.371075,2.89242,6.360626,83.912819,8.694939,-5.461538,0.0,1133.042236,0.000332,1075.689697,0.859899,
2020 HEATING NEW PTFE LINE_0030.LAB,11/19/2020,14:16:47.279,0.292394,0.683449,-0.008409,0.016135,2.1569220000000002,0.935162,459.80208799999997,0.051449,1.148584,-0.032141,0.5584020000000001,-0.071768,0.048637,-0.002872,0.211598,0.006392,0.353195,-0.24716999999999997,0.119122,0.008498,192.088928,1.005113,0.683449,0.765915,0.353195,2.1569220000000002,0.975843,0.76631,0.5586899999999999,0.292545,0.683801,0.9763459999999999,0.25555500000000003,2.8931259999999996,6.362114,83.952782,8.784952,-5.461538,0.0,1133.0429689999999,5e-05,1141.667236,0.8594069999999999,
2020 HEATING NEW PTFE LINE_0031.LAB,11/19/2020,14:16:50.915,0.18105,-2.755477,-0.022918,0.014862,2.093919,0.43985,460.61076900000006,0.011555,1.361766,-0.053152,0.558729,0.010353,0.046407,0.026563999999999997,0.183095,0.013768,0.399484,-0.348086,0.065812,0.0055520000000000005,192.063492,1.006238,-2.755477,0.096361,0.399484,2.093919,-2.574427,0.096372,0.558793,0.181071,-2.755795,-2.574725,0.251046,2.893268,6.362672,84.07265500000001,8.784952,-5.461538,0.0,1133.046143,0.00046100000000000004,1388.410034,0.858693,
2020 HEATING NEW PTFE LINE_0032.LAB,11/19/2020,14:16:54.842,0.347014,-0.804974,-0.018529,0.016564,2.1557470000000003,0.794936,457.871155,0.026470999999999998,1.110502,-0.009242,0.545415,0.236029,0.028208999999999998,-0.029211,0.174283,0.006812,0.478728,-0.17324,0.034168000000000004,0.004354,192.114365,1.0072020000000002,-0.804974,0.236029,0.478728,2.1557470000000003,-0.45796000000000003,0.236091,0.545559,0.34710599999999997,-0.805188,-0.458082,0.23427800000000001,2.897157,6.363306,84.512199,8.784952,-5.479121,0.0,1133.045532,0.000135,951.696594,0.859439,
2020 HEATING NEW PTFE LINE_0033.LAB,11/19/2020,14:16:59.096,-0.15371700000000002,-0.017549000000000002,-0.078573,0.017398,2.166819,0.516097,458.424609,0.012503,1.179633,0.035328,0.541929,0.124677,0.043443,0.013766999999999998,0.210898,0.001977,0.328681,-0.192695,0.21045,0.00048600000000000005,192.114365,1.0066389999999998,-0.017549000000000002,0.128832,0.328681,2.166819,-0.171266,0.128848,0.5419970000000001,-0.15373599999999998,-0.017551,-0.171287,0.30248,2.902894,6.3650839999999995,83.433319,8.722635,-5.481318,0.0,1133.045288,0.000264,989.1923830000001,0.85946,
2020 HEATING NEW PTFE LINE_0034.LAB,11/19/2020,14:17:02.732,0.23520100000000002,-1.3054,-0.011452,0.015962999999999998,2.2044770000000002,0.482392,457.54299100000003,0.029207,1.0620049999999999,-0.055264999999999995,0.540759,0.020225,0.051101,0.01212,0.17386500000000002,0.018344,0.329698,-0.15274000000000001,-0.188912,0.003565,192.09741200000002,1.006934,-1.3054,10.168318,0.329698,2.2044770000000002,-1.070199,10.171289,0.540917,0.23526999999999998,-1.3057809999999999,-1.070511,0.154202,2.9067369999999997,6.365647,83.273483,8.722635,-5.481318,0.0,1133.04541,0.000248,1166.280151,0.860691,
2020 HEATING NEW PTFE LINE_0035.LAB,11/19/2020,14:17:06.576,0.223187,-1.5031809999999999,0.074308,0.014624000000000002,2.059509,0.449679,455.695528,0.011385,0.831569,-0.001374,0.552798,-0.040135000000000004,0.039169,-0.026851999999999997,0.149488,0.00328,0.337365,-0.623405,0.25050500000000003,0.004961,192.088928,1.006961,-1.5031809999999999,-0.040082,0.337365,2.059509,-1.279994,-0.040087,0.5528609999999999,0.223212,-1.503352,-1.28014,0.290391,2.906789,6.365225,83.952782,8.774566,-5.481318,0.0,1133.044678,0.00035099999999999997,1035.162231,0.860015,
2020 HEATING NEW PTFE LINE_0036.LAB,11/19/2020,14:17:10.536,-0.063676,-0.572416,-0.060067999999999996,0.017048,2.068015,0.344627,455.85027,0.008974,0.736356,0.062138,0.541088,0.10536,0.03665,0.010487,0.16625299999999998,0.006481999999999999,0.399332,-0.305615,0.131407,0.003951,192.114365,1.0068,-0.572416,0.10536400000000001,0.399332,2.068015,-0.636093,0.10537300000000001,0.541136,-0.063682,-0.572468,-0.63615,0.26502800000000004,2.904811,6.364895,83.393364,8.774566,-5.485714,0.0,1133.045166,0.000161,1258.436523,0.8606659999999999,
2020 HEATING NEW PTFE LINE_0037.LAB,11/19/2020,14:17:14.586,-0.142335,-1.157555,-0.018846,0.015544,2.147586,0.536697,456.394624,0.012844999999999999,0.9961469999999999,0.095487,0.540244,0.122823,0.029657,-0.036584,0.12181700000000001,-0.003317,0.314075,-0.146803,0.146341,0.002478,192.088928,1.006318,-1.157555,0.122823,0.314075,2.147586,-1.29989,0.122839,0.5403140000000001,-0.142354,-1.1577030000000001,-1.300057,0.200702,2.902146,6.364717,84.672035,8.743407000000001,-5.485714,0.0,1133.045166,0.00041900000000000005,1087.960083,0.860025,
2020 HEATING NEW PTFE LINE_0038.LAB,11/19/2020,14:17:18.678,0.201078,0.31555,0.0021969999999999997,0.017265,2.164367,0.812846,453.780822,0.007444,1.101145,0.045348,0.546343,0.13113,0.043651999999999996,-0.005868,0.197382,0.005044,0.308512,-0.42010200000000003,-0.10273099999999999,0.004336,192.029572,1.0068270000000001,0.31555,0.136275,0.308512,2.164367,0.516628,0.136285,0.546384,0.201093,0.315573,0.516666,0.152813,2.900023,6.364496,83.353401,8.743407000000001,-5.498901,0.0,1133.044312,0.000199,927.11322,0.8587629999999999,
2020 HEATING NEW PTFE LINE_0039.LAB,11/19/2020,14:17:22.350,0.085212,0.8940100000000001,-0.048374,0.015244,2.143991,0.502045,454.313999,0.010574,0.7978270000000001,0.002905,0.539959,0.151107,0.039012,0.029870999999999998,0.157863,0.002384,0.389403,-0.175756,0.172199,0.0008730000000000001,192.063492,1.007121,0.8940100000000001,0.151152,0.389403,2.143991,0.9792219999999999,0.151168,0.540017,0.085221,0.8941049999999999,0.979326,0.288677,2.901398,6.364997,84.71199,8.774566,-5.498901,0.0,1133.043579,0.000515,1268.8786619999998,0.8592290000000001,
2020 HEATING NEW PTFE LINE_0040.LAB,11/19/2020,14:17:26.191,0.322899,-0.689769,-0.047733,0.015208000000000001,2.079478,0.331095,453.557217,0.017315,0.625617,0.028304000000000003,0.5405300000000001,-0.040557,0.045486,-0.011,0.153542,-0.026055000000000002,0.38372,-0.308161,-0.053337999999999997,0.000696,192.088928,1.007523,-0.689769,-0.006973,0.38372,2.079478,-0.36687,-0.006973999999999999,0.540624,0.322955,-0.6898880000000001,-0.36693400000000004,0.159951,2.906055,6.366069,83.912819,8.774566,-5.498901,0.0,1133.044556,1.8e-05,1170.044434,0.860038,
2020 HEATING NEW PTFE LINE_0041.LAB,11/19/2020,14:17:30.268,0.006755,-1.076214,0.016649,0.019405000000000002,2.3633610000000003,0.196194,453.847585,-0.0009109999999999999,1.106771,0.13359400000000002,0.533849,-0.014686000000000001,0.036816,-0.002477,0.164858,0.004079,0.43208100000000005,-0.231143,-0.008922,0.0026739999999999997,192.063492,1.0068,-1.076214,-0.014681999999999999,0.43208100000000005,2.3633610000000003,-1.069459,-0.014681999999999999,0.533844,0.006755,-1.0762049999999999,-1.0694489999999999,0.20830500000000002,2.9087400000000003,6.366534,83.273483,8.753794000000001,-5.50989,0.0,1133.043823,0.000177,1022.6242070000001,0.8598979999999999,
2020 HEATING NEW PTFE LINE_0042.LAB,11/19/2020,14:17:34.081,0.301479,-1.277606,0.051967,0.016303,2.10967,0.189275,458.32106100000004,-0.001041,0.872859,-0.071085,0.531624,0.114229,0.038437,-0.007812999999999999,0.110849,0.007714,0.297626,-0.048907,0.34836999999999996,0.003647,192.063492,1.006961,-1.277606,0.114254,0.297626,2.10967,-0.9761270000000001,0.11425199999999999,0.531618,0.301475,-1.277592,-0.976117,0.338758,2.908083,6.3658529999999995,83.912819,8.753794000000001,-5.50989,0.0,1133.0448,0.00038700000000000003,1293.662964,0.85934,
2020 HEATING NEW PTFE LINE_0043.LAB,11/19/2020,14:17:37.964,0.165071,-2.02166,0.008975,0.014435,2.0948330000000004,0.681075,458.22237,0.005414,0.565348,0.011966,0.5381819999999999,0.14185899999999999,0.038305,0.031081,0.17664000000000002,0.003927,0.397652,0.035098000000000004,-0.09399099999999999,0.003196,192.063492,1.00747,-2.02166,0.14188,0.397652,2.0948330000000004,-1.856589,0.14188800000000001,0.538211,0.165079,-2.021769,-1.8566900000000002,0.196394,2.9066520000000002,6.365201,84.831863,8.753794000000001,-5.512087999999999,0.0,1133.045166,0.000315,1217.96875,0.8600629999999999,
2020 HEATING NEW PTFE LINE_0044.LAB,11/19/2020,14:17:42.228,0.081535,-0.6827949999999999,-0.022442,0.015484,2.2488200000000003,0.41369300000000003,456.677575,-0.015611000000000002,0.869067,-0.003897,0.545423,0.24135,0.038099,-0.004215,0.182162,-0.002924,0.455509,-0.383738,-0.036528,0.0066040000000000005,192.012619,1.0072020000000002,-0.6827949999999999,0.241367,0.455509,2.2488200000000003,-0.60126,0.241329,0.545338,0.081522,-0.682688,-0.601166,0.214198,2.903286,6.364704,83.393364,8.774566,-5.512087999999999,0.0,1133.045776,0.000618,1315.709106,0.859634,
2020 HEATING NEW PTFE LINE_0045.LAB,11/19/2020,14:17:45.900,-0.031275,-0.501342,0.016909999999999998,0.016413999999999998,2.190904,-0.036976999999999996,456.06950300000005,-0.009659000000000001,0.778257,0.065731,0.544484,0.16989200000000002,0.045063,0.0065780000000000005,0.157467,0.019201,0.330404,-0.278244,0.165103,0.004251,192.038055,1.007041,-0.501342,0.19167599999999999,0.330404,2.190904,-0.532617,0.191657,0.544431,-0.031272,-0.5012939999999999,-0.532565,0.257656,2.901267,6.3647540000000005,84.911781,8.774566,-5.505495,0.0,1133.045532,0.000164,924.7375490000001,0.858611,
2020 HEATING NEW PTFE LINE_0046.LAB,11/19/2020,14:17:49.740,0.040929,-1.408467,0.087197,0.015828000000000002,2.151622,0.518238,456.290733,-0.016862000000000002,1.045377,-0.06389600000000001,0.541779,0.037286,0.042283999999999995,0.040483,0.19631600000000002,-0.0071730000000000006,0.325388,-0.181198,-0.165196,0.007442,192.088928,1.00672,-1.408467,0.038556,0.325388,2.151622,-1.367538,0.038549,0.5416880000000001,0.040922,-1.4082299999999999,-1.367307,0.172007,2.899797,6.364655,83.952782,8.726097,-5.505495,0.0,1133.045044,0.00033999999999999997,838.968811,0.858634,
2020 HEATING NEW PTFE LINE_0047.LAB,11/19/2020,14:17:53.704,0.484382,-0.088786,0.023046,0.019161,2.2312369999999997,0.36780100000000004,454.68853600000006,-0.035387,0.49223199999999995,0.10191599999999999,0.540659,0.10426700000000001,0.0299,-0.0044210000000000005,0.16271300000000002,0.021943999999999998,0.25804699999999997,-0.088591,-0.07967300000000001,-0.001361,192.063492,1.0066389999999998,-0.088786,0.10426700000000001,0.25804699999999997,2.2312369999999997,0.395596,0.10422999999999999,0.5404680000000001,0.48421000000000003,-0.088755,0.395456,0.128723,2.9020770000000002,6.365161,83.752983,8.726097,-5.496703,0.0,1133.046265,0.000252,900.183899,0.859192,
2020 HEATING NEW PTFE LINE_0048.LAB,11/19/2020,14:17:57.584,0.045521,-0.11172,-0.14789000000000002,0.016733,2.162593,0.488762,456.853371,0.004054,0.279979,0.071539,0.530204,0.100888,0.039449,0.011289,0.195421,-0.002957,0.18538,-0.201523,-0.153394,0.0072180000000000005,192.063492,1.007255,-0.11172,0.100957,0.18538,2.162593,-0.06619900000000001,0.100962,0.530226,0.045523,-0.111725,-0.066202,0.106956,2.906046,6.365787999999999,83.353401,8.726097,-5.496703,0.0,1133.0467529999999,0.000248,1114.820801,0.8590969999999999,
2020 HEATING NEW PTFE LINE_0049.LAB,11/19/2020,14:18:01.508,0.352902,0.115168,-0.073183,0.017391999999999998,2.097529,0.202025,455.230361,0.0063490000000000005,0.36635,-0.077128,0.555325,0.07196,0.045992,0.0036130000000000003,0.048935,0.012764,0.253821,-0.248939,0.004543,0.011303,192.063492,1.007121,0.115168,0.128228,0.253821,2.097529,0.46807,0.128236,0.5553600000000001,0.352925,0.115175,0.4681,0.117501,2.9071990000000003,6.365882,83.353401,8.726097,-5.501099,0.0,1133.046265,0.00022799999999999999,1168.092529,0.859397,
2020 HEATING NEW PTFE LINE_0050.LAB,11/19/2020,14:18:05.438,0.35854,-0.980884,-0.00806,0.016177,2.191875,0.075295,454.066738,-0.010006000000000001,0.9087219999999999,-0.025955000000000002,0.540325,0.28254,0.036068,-0.026222000000000002,0.093194,-0.003667,0.354565,-0.23911999999999997,-0.516356,0.0071849999999999995,192.114365,1.006881,-0.980884,0.282543,0.354565,2.191875,-0.622345,0.282514,0.5402710000000001,0.358504,-0.980786,-0.622282,0.12170299999999999,2.906222,6.365507,83.952782,8.726097,-5.501099,0.0,1133.046509,0.00013000000000000002,1109.327759,0.859369,
