Spectrum	Date	Time	Acetylene (1000) 191C	Benzene  191c	C4F6 150C	CF4 Low 150C	CH4 (250) 191C (1of2)	CO (500) 191C (1of2)	CO2 ppm 191c	Desflurane 150c	Ethane (500) 191C	Ethylene (100,3000) 191C	H2O% (40) 191C	HCl ppm (100) 191C	HEXAFLUOROETHANE 150C	HEXAFLUOROPROPYLENE 150C	HF ppm (10) 191C	Isoflurane 150c	N2O (100,200,300) 191C	NO (350,3000) 191C	Propane (100) 191C	TRIFLUOROMETHANE 150C	Temp (C)	Pressure (Atm)	NO2 wet	CO wet	CH4 wet	NH3 wet	NOx wet	CO dry	CO2% dry	NO dry	NO2 dry	NOx dry	HC (C3)	Igram DC	Igram PP	phase Angle	laser PP	laser DC	Bad Scan counter	Centerburst Location	Linearizer Check	SNR 2500	sBeam @ 2500	
2020 HEATING NEW PTFE LINE_0001.LAB	11/19/2020	14:14:03.131	0.017371	-1.832608	-0.103275	0.000023	0.046930	-0.327403	0.688779	0.031511	0.040518	-0.012864	0.008218	0.173301	-0.001841	0.022094	-0.023532	0.020650	-0.003563	-0.175328	-0.089094	0.004925	192.179779	1.001395	-1.832608	0.173301	-0.003563	0.046930	-1.815237	0.173355	0.008220	0.017376	-1.833185	-1.815809	-0.009536	3.377046	6.662364	84.592117	8.812649	-5.514286	0.000000	1133.035522	0.000359	NaN	0.855093
2020 HEATING NEW PTFE LINE_0002BKG.LAB	11/19/2020	14:14:51.207	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	192.141022	1.001372	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	3.384932	6.664941	83.713028	8.812649	-5.514286	0.000000	1133.043579	0.000267	1125.984253	0.856679
2020 HEATING NEW PTFE LINE_0003.LAB	11/19/2020	14:15:01.012	0.164059	-0.679220	0.010367	0.000466	0.125114	0.099186	0.827708	-0.009935	-0.102391	0.052153	0.009722	0.018486	-0.000436	-0.006695	-0.003399	0.006492	-0.073209	-0.259829	0.231825	-0.004052	192.165237	1.001303	-0.679220	0.018486	-0.073209	0.125114	-0.515161	0.018485	0.009721	0.164043	-0.679153	-0.515110	0.087396	3.383779	6.665130	83.872864	8.836883	-5.512088	0.000000	1133.043091	0.000180	1373.608154	0.857057
2020 HEATING NEW PTFE LINE_0004.LAB	11/19/2020	14:15:05.132	-0.226733	-0.321742	-0.031564	0.000316	-0.085310	-0.102076	-1.506025	0.008621	0.165667	0.089393	-0.003121	-0.046164	-0.002900	0.002833	0.012904	-0.002493	-0.034375	-0.023102	0.197456	0.004610	192.104187	1.001322	-0.321742	-0.046164	-0.034375	-0.085310	-0.548476	-0.046168	-0.003121	-0.226753	-0.321770	-0.548523	0.088733	3.384468	6.665459	84.432281	8.791876	-5.505495	0.000000	1133.045166	0.000324	954.670288	0.856360
2020 HEATING NEW PTFE LINE_0005.LAB	11/19/2020	14:15:08.904	0.333710	0.847779	-0.054764	-0.000346	0.121491	0.067873	-1.758263	-0.014339	-0.034858	-0.029595	-0.002485	-0.062974	-0.002242	0.000690	-0.040004	0.019825	-0.047692	0.209560	0.316024	-0.001484	192.139801	1.001338	0.847779	-0.062974	-0.047692	0.121491	1.181489	-0.062965	-0.002485	0.333662	0.847657	1.181320	0.155438	3.382473	6.665115	84.552155	8.791876	-5.505495	0.000000	1133.045776	0.000249	800.097107	0.856670
2020 HEATING NEW PTFE LINE_0006.LAB	11/19/2020	14:15:12.784	0.298670	1.630095	0.058216	0.001630	0.032981	-0.163065	-0.311101	0.013382	0.221568	0.039659	-0.003496	0.031132	0.014297	0.010585	-0.032398	-0.019340	-0.036389	0.079440	0.275248	-0.000654	192.165237	1.001365	1.630095	0.031132	-0.036389	0.032981	1.928766	0.031136	-0.003497	0.298710	1.630313	1.929024	0.125531	3.380316	6.664719	84.592117	8.739945	-5.505495	0.000000	1133.046265	0.000418	722.406738	0.856324
2020 HEATING NEW PTFE LINE_0007.LAB	11/19/2020	14:15:17.023	-0.307417	0.844853	-0.063423	0.003879	0.054996	-0.214409	-1.489283	0.001397	-0.329985	0.050408	0.009666	-0.038157	-0.009931	0.020748	-0.005250	-0.005964	0.060310	0.020316	0.018100	0.003359	192.185593	1.001257	0.844853	-0.038157	0.060310	0.054996	0.537437	-0.038157	0.009666	-0.307421	0.844865	0.537444	0.037115	3.376905	6.664155	84.192528	8.739945	-5.485714	0.000000	1133.046875	0.000180	1108.993408	0.855915
2020 HEATING NEW PTFE LINE_0008.LAB	11/19/2020	14:15:20.659	0.290606	1.499405	0.020974	0.000147	-0.009105	0.058452	-0.779215	0.002994	0.330710	0.034640	0.000410	0.185739	0.004097	-0.017316	-0.002900	0.012049	0.039139	0.047087	-0.159418	-0.001242	192.165237	1.001472	1.499405	0.185739	0.039139	-0.009105	1.790010	0.185745	0.000410	0.290614	1.499449	1.790064	-0.023747	3.375615	6.664343	84.472237	8.719173	-5.485714	0.000000	1133.047974	0.000624	1031.078369	0.855052
2020 HEATING NEW PTFE LINE_0009.LAB	11/19/2020	14:15:24.897	-0.188861	-0.294299	0.002923	-0.000223	0.210044	-0.088123	0.683732	0.004468	-0.040604	0.024135	-0.001355	-0.160770	-0.005643	-0.042948	0.024179	0.007468	-0.053330	-0.008626	-0.036535	-0.001752	192.088928	1.001338	-0.294299	-0.160770	-0.053330	0.210044	-0.483160	-0.160777	-0.001355	-0.188870	-0.294312	-0.483181	-0.041361	3.376728	6.664460	84.312408	8.719173	-5.463736	0.000000	1133.046997	0.000230	1036.058472	0.855719
2020 HEATING NEW PTFE LINE_0010.LAB	11/19/2020	14:15:28.532	0.127398	0.912408	-0.078899	-0.002895	0.143564	0.043595	-0.011930	0.005713	0.132880	0.000805	0.001735	0.051207	-0.008154	-0.016030	-0.019011	-0.017155	-0.021442	-0.163314	0.393451	0.004517	192.088928	1.001257	0.912408	0.051207	-0.021442	0.143564	1.039806	0.051210	0.001735	0.127405	0.912460	1.039865	0.207503	3.381319	6.665940	84.432281	8.670705	-5.463736	0.000000	1133.048096	0.000281	1315.408813	0.856830
